count	ckey	example_surface	example_path	top_book
11	ما رواه الحسين بن سعيد	مَا رَوَاهُ الحُسَينُ بنُ سَعِيدٍ	books/al-istibsar/4/59/10.json	al-istibsar
11	محمد بن يعقوب عن حميد بن زياد	مُحَمّدُ بنُ يَعقُوبَ عَن حُمَيدِ بنِ زِيَادٍ	books/al-istibsar/3/103/4.json	al-istibsar
11	الحسن بن علي بن يقطين عن اخيه الحسين عن ابيه علي بن يقطين	الحَسَنِ بنِ عَلِيّ بنِ يَقطِينٍ عَن أَخِيهِ الحُسَينِ عَن أَبِيهِ عَلِيّ بنِ يَقطِينٍ	books/al-istibsar/1/111/14.json	al-istibsar
11	عمه يعقوب الاحمر	عمه يعقوب الأحمر	books/al-istibsar/1/49/3.json	tahdhib-al-ahkam
11	ابن فضال عمن ذكره	ابْنِ فَضَّالٍ عَمَّنْ ذَكَرَهُ	books/al-kafi/8/1/37/7.json	al-kafi
11	يونس عمن ذكره	يُونُسَ عَمَّنْ ذَكَرَهُ	books/al-kafi/8/1/45/14.json	al-kafi
11	ابوالحسين محمد بن علي بن الشاه	أبوالحسين محمد بن علي بن الشاه قال	books/al-khisal/8/10/1.json	al-khisal
11	محمد بن علي بن الشاه	محمد بن علي بن الشاه قال	books/al-khisal/8/4/1.json	al-khisal
11	الحسن بن علي بن مهزيار	الْحَسَنِ بْنِ عَلِيِّ بْنِ مَهْزِيَارَ	books/kamil-al-ziyarat/2/3/3.json	kamil-al-ziyarat
11	كتب محمد بن الحسن الصفار	كَتَبَ مُحَمَّدُ بْنُ اَلْحَسَنِ اَلصَّفَّارُ رَضِيَ اَللَّهُ عَنْهُ	books/man-la-yahduruhu-al-faqih/4/102/3.json	man-la-yahduruhu-al-faqih
11	الذي رواه - الحسين بن سعيد	اَلَّذِي رَوَاهُ - اَلْحُسَيْنُ بْنُ سَعِيدٍ	books/tahdhib-al-ahkam/7/25/22.json	tahdhib-al-ahkam
11	فاخبرني الشيخ	فأخبرني الشيخ أيده الله تعالى	books/tahdhib-al-ahkam/1/18/44.json	tahdhib-al-ahkam
10	ابايه عليهم السلام قال قال رسول الله صلي الله عليه و	آبَائِهِ عَلَيْهِمُ السَّلَامُ قَالَ قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ و	books/al-amali-saduq/15/10.json	al-amali-saduq
10	الحسين بن ابراهيم	الحسين بن إبراهيم (رحمه الله)، قال	books/al-amali-saduq/17/3.json	kitab-al-ghayba-tusi
10	محمد بن يحيي عن احمد بن محمد	مُحَمّدُ بنُ يَحيَي عَن أَحمَدَ بنِ مُحَمّدٍ	books/al-istibsar/4/1/16.json	al-istibsar
10	عنه عن علي عن ابيه	عَنهُ عَن عَلِيّ عَن أَبِيهِ	books/al-istibsar/4/30/5.json	al-istibsar
10	ابن ابي عمير عن معاويه بن عمار عن ابي عبد الله	ابنِ أَبِي عُمَيرٍ عَن مُعَاوِيَةَ بنِ عَمّارٍ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/4/38/41.json	al-istibsar
10	العلاء بن رزين عن محمد بن مسلم	العَلَاءِ بنِ رَزِينٍ عَن مُحَمّدِ بنِ مُسلِمٍ	books/al-istibsar/4/55/4.json	al-istibsar
10	فاما ما رواهسعد بن عبد الله	فأما ما رواهسعد بن عبد الله	books/al-istibsar/2/9/3.json	al-istibsar
10	سعد عن احمد بن محمد	سَعدٌ عَن أَحمَدَ بنِ مُحَمّدٍ	books/al-istibsar/1/151/7.json	al-istibsar
10	سعد بن عبد الله بن ابي خلف	سَعْدِ بْنِ عَبْدِ اللَّهِ بْنِ أَبِي خَلَفٍ	books/kamil-al-ziyarat/2/101/7.json	kamil-al-ziyarat
10	الحسن بن متيل	الْحَسَنِ بْنِ مَتِّيلٍ	books/kamil-al-ziyarat/2/105/2.json	kamil-al-ziyarat
10	محمد بن جعفر القرشي الرزاز	حَدَّثَنِي مُحَمَّدُ بْنُ جَعْفَرٍ الْقُرَشِيُّ الرَّزَّازُ	books/kamil-al-ziyarat/2/17/5.json	kamil-al-ziyarat
10	ابو سليمان احمد بن هوذه الباهلي	أخبرنا أبو سليمان أحمد بن هوذة الباهلي قال	books/kitab-al-ghayba-numani/2/10/12.json	kitab-al-ghayba-numani
10	سيل	سُئِلَ عَلَيْهِ اَلسَّلاَمُ	books/man-la-yahduruhu-al-faqih/3/3/42/10.json	man-la-yahduruhu-al-faqih
10	عبدالله بن سنان	عبدالله بن سنان قال	books/mujam-al-ahadith-al-mutabara/4/11/1.json	mujam-al-ahadith-al-mutabara
10	الذي رواه - موسي بن القاسم	اَلَّذِي رَوَاهُ - مُوسَى بْنُ اَلْقَاسِمِ	books/tahdhib-al-ahkam/5/16/100.json	tahdhib-al-ahkam
9	ابو القاسم جعفر بن محمد بن قولويه	أَبُو الْقَاسِمِ جَعْفَرُ بْنُ مُحَمَّدِ بْنِ قُولَوَيْهِ رَحِمَهُ اللَّهُ	books/al-amali-mufid/42/8/1.json	al-istibsar
9	ابيه ان عليا	أبيه أن عليا ع	books/al-istibsar/4/1/17.json	tahdhib-al-ahkam
9	محمد بن احمد بن يحيي عن احمد بن محمد	مُحَمّدُ بنُ أَحمَدَ بنِ يَحيَي عَن أَحمَدَ بنِ مُحَمّدٍ	books/al-istibsar/4/28/7.json	al-istibsar
9	الصفار عن احمد بن محمد	الصّفّارُ عَن أَحمَدَ بنِ مُحَمّدٍ	books/al-istibsar/4/33/30.json	al-istibsar
9	ابيه اسماعيل بن عيسي	أبيه إسماعيل بن عيسي	books/al-istibsar/4/33/31.json	tahdhib-al-ahkam
9	ابن ابي عمير عن جميل بن دراج	ابنِ أَبِي عُمَيرٍ عَن جَمِيلِ بنِ دَرّاجٍ	books/al-istibsar/4/36/10.json	al-istibsar
9	الحسين بن سعيد عن صفوان بن يحيي	الحُسَينُ بنُ سَعِيدٍ عَن صَفوَانَ بنِ يَحيَي	books/al-istibsar/4/36/3.json	al-istibsar
9	محمد بن السندي	محمد بن السندي 	books/al-istibsar/4/7/12.json	tahdhib-al-ahkam
9	هو صايم	هُوَ صَائِمٌ	books/al-istibsar/2/19/5.json	man-la-yahduruhu-al-faqih
9	به الشيخ	أخبرني به الشيخ رحمه الله	books/al-istibsar/1/21/5.json	al-istibsar
9	ابي عبد الله ( عليه السلام ) ان امير المومنين	أَبِي عَبْدِ اللَّهِ ( عليه السلام ) أَنَّ أَمِيرَ الْمُؤْمِنِينَ ( عليه السلام )	books/al-kafi/7/4/43/4.json	al-kafi
9	محمد بن ابي حمزه عمن ذكره	مُحَمَّدِ بْنِ أَبِي حَمْزَةَ عَمَّنْ ذَكَرَهُ	books/al-kafi/6/7/9/1.json	tahdhib-al-ahkam
9	ابيه محمد بن يحيي	أبيه محمد بن يحيى،	books/al-khisal/4/138/1.json	tahdhib-al-ahkam
9	احمد بن محمد بن الهيثم العجلي	أحمد بن محمد بن الهيثم العجلي رضي الله عنه قال	books/al-khisal/4/158/1.json	al-khisal
9	الحسن بن احمد بن ادريس	الحسن بن أحمد بن إدريس - رحمه الله - ،	books/al-khisal/4/64/1.json	al-khisal
9	ابي عبد الله عليه السلام في قول	أبي عبد الله عليه السلام في قول	books/al-tawhid/2/12/3.json	kitab-al-zuhd
9	محمد بن الحسن رحمهم الله	مُحَمَّدُ بْنُ الْحَسَنِ رَحِمَهُمُ اللَّهُ	books/kamil-al-ziyarat/2/108/8.json	kamil-al-ziyarat
9	ابي القاسم	أَبِي الْقَاسِمِ	books/kamil-al-ziyarat/2/27/12.json	tahdhib-al-ahkam
9	ابي جعفر محمد بن سفيان البزوفري	أبي جعفر محمد بن سفيان البزوفري	books/kitab-al-ghayba-tusi/26/9.json	kitab-al-ghayba-tusi
9	سعد بن عبدالله	سعد بن عبدالله،	books/kitab-al-ghayba-tusi/38/7.json	mujam-al-ahadith-al-mutabara
9	المظفر بن جعفر بن المظفر العلوي	المظفر بن جعفر بن المظفر العلوي - رضي الله عنه - قال	books/maani-al-akhbar/186/9.json	maani-al-akhbar
9	ونهي	ونهى صلى الله عليه وآله	books/maani-al-akhbar/315/12.json	maani-al-akhbar
9	السكوني باسناده	السكوني بإسناده	books/man-la-yahduruhu-al-faqih/4/127/10.json	man-la-yahduruhu-al-faqih
9	ابو حمزه الثمالي	أبو حمزة الثمالي	books/man-la-yahduruhu-al-faqih/4/175/126.json	man-la-yahduruhu-al-faqih
9	سال سماعه ابا عبد الله	سَأَلَ سَمَاعَةُ أَبَا عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ :	books/man-la-yahduruhu-al-faqih/4/19/21.json	man-la-yahduruhu-al-faqih
9	ابي عبد الله عليه ا	أَبِي عَبْدِ ٱللَّهِ عَلَيْهِ ٱ	books/man-la-yahduruhu-al-faqih/3/4/1/6.json	man-la-yahduruhu-al-faqih
9	وفي روايه حريز	وَفِي رِوَايَةِ حَرِيزٍ	books/man-la-yahduruhu-al-faqih/3/3/52/4.json	man-la-yahduruhu-al-faqih
9	ابي عبد الله عليه السلام : «ان رسول الله صلي الله عليه	أَبِي عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ : «أَنَّ رَسُولَ اَللَّهِ صَلَّى اَللَّهُ عَلَيْهِ	books/man-la-yahduruhu-al-faqih/2/3/5/41.json	tahdhib-al-ahkam
9	ساله سماعه بن مهران	سَأَلَهُ سَمَاعَةُ بْنُ مِهْرَانَ :	books/man-la-yahduruhu-al-faqih/2/2/18/5.json	man-la-yahduruhu-al-faqih
9	وقال النبي صلي الله عليه	وَقَالَ اَلنَّبِيُّ صَلَّى اَللَّهُ عَلَيْهِ	books/man-la-yahduruhu-al-faqih/1/12/6.json	man-la-yahduruhu-al-faqih
9	محمد بن عبدالجبار	محمد بن عبدالجبار،	books/mujam-al-ahadith-al-mutabara/5/5/6.json	mujam-al-ahadith-al-mutabara
9	الذي رواه - محمد بن احمد بن يحيي	اَلَّذِي رَوَاهُ - مُحَمَّدُ بْنُ أَحْمَدَ بْنِ يَحْيَى	books/tahdhib-al-ahkam/5/1/11.json	tahdhib-al-ahkam
8	اسماعيل بن مسلم السكوني	إِسْمَاعِيلَ بْنِ مُسْلِمٍ السَّكُونِيِّ	books/al-amali-mufid/42/1/1.json	al-amali-saduq
8	ابيه علي بن الحسين	أَبِيهِ عَلِيِّ بْنِ الْحُسَيْنِ،	books/al-amali-mufid/12/9/1.json	uyun-akhbar-al-rida
8	جده عبد الله بن المغيره	جده عبد الله بن المغيرة،	books/al-amali-saduq/16/1.json	al-amali-saduq
8	محمد بن عمر الحافظ البغدادي	محمد بن عمر الحافظ البغدادي، قال	books/al-amali-saduq/16/11.json	al-amali-saduq
8	محمد بن علي القرشي	مُحَمَّدِ بْنِ عَلِيٍّ الْقُرَشِيِّ،	books/al-amali-saduq/34/2.json	thawab-al-amal
8	الحسين بن ابراهيم بن احمد بن هشام المودب	الحسين بن إبراهيم بن أحمد بن هشام المؤدب (رضي الله عنه)، قال	books/al-amali-saduq/61/17.json	al-amali-saduq
8	محمد بن محمد بن عصام الكليني	محمد بن محمد بن عصام الكليني (رحمه الله)، قال	books/al-amali-saduq/69/3.json	al-tawhid
8	ابن ابي عمير عن جميل	ابنِ أَبِي عُمَيرٍ عَن جَمِيلٍ	books/al-istibsar/4/1/5.json	al-istibsar
8	محمد بن يعقوب عن محمد بن اسماعيل	مُحَمّدُ بنُ يَعقُوبَ عَن مُحَمّدِ بنِ إِسمَاعِيلَ	books/al-istibsar/4/36/25.json	al-istibsar
8	الرجل يموت	الرّجُلِ يَمُوتُ	books/al-istibsar/4/38/18.json	man-la-yahduruhu-al-faqih
8	محمد بن مسلم عن ابي جعفر	مُحَمّدِ بنِ مُسلِمٍ عَن أَبِي جَعفَرٍ	books/al-istibsar/4/38/53.json	al-istibsar
8	ابن بكير عن زراره	ابنِ بُكَيرٍ عَن زُرَارَةَ	books/al-istibsar/4/59/20.json	al-istibsar
8	ابن بكير عن زراره عن ابي جعفر	ابنِ بُكَيرٍ عَن زُرَارَةَ عَن أَبِي جَعفَرٍ ع أَنّهُ	books/al-istibsar/3/107/4.json	al-istibsar
8	ابن ابي يعفور عن ابي عبد الله	ابنِ أَبِي يَعفُورٍ عَن أَبِي عَبدِ اللّهِ ع أَنّهُ	books/al-istibsar/3/110/9.json	al-istibsar
8	ذلك الحسين بن سعيد	رَوَي ذَلِكَ الحُسَينُ بنُ سَعِيدٍ	books/al-istibsar/3/70/5.json	al-istibsar
8	عنه عن ابي جعفر	عَنهُ عَن أَبِي جَعفَرٍ	books/al-istibsar/2/12/2.json	al-istibsar
8	اسحاق بن عبد الله	إسحاق بن عبد الله	books/al-istibsar/2/128/11.json	al-istibsar
8	احمد بن ابي نصر	أحمد بن أبي نصر	books/al-istibsar/1/268/1.json	tahdhib-al-ahkam
8	عنه عن احمد بن محمد عن ابيه	عَنهُ عَن أَحمَدَ بنِ مُحَمّدٍ عَن أَبِيهِ	books/al-istibsar/1/29/7.json	al-istibsar
8	عمه يعقوب بن سالم الاحمر	عمه يعقوب بن سالم الأحمر	books/al-istibsar/1/38/5.json	tahdhib-al-ahkam
8	محمد بن يحيي المعاذي	محمد بن يحيي المعاذي 	books/al-istibsar/1/99/3.json	tahdhib-al-ahkam
8	محمد بن يحيي عمن ذكره	مُحَمَّدُ بْنُ يَحْيَى عَمَّنْ ذَكَرَهُ	books/al-kafi/7/1/22/3.json	al-kafi
8	احمد بن محمد عمن ذكره	أَحْمَدُ بْنُ مُحَمَّدٍ عَمَّنْ ذَكَرَهُ	books/al-kafi/5/3/84/11.json	al-kafi
8	الحسين بن عثمان عمن ذكره	الْحُسَيْنِ بْنِ عُثْمَانَ عَمَّنْ ذَكَرَهُ	books/al-kafi/4/3/59/5.json	al-kafi
8	الخليل بن احمد السجزي	أخبرني الخليل بن أحمد السجزي قال	books/al-khisal/8/2/1.json	al-khisal
8	محمد بن موسي المتوكل	محمد بن موسى المتوكل رضي الله عنه قال	books/al-khisal/3/38/1.json	sifat-al-shia
8	ابان بن عثمان الاحمر	أبان بن عثمان الاحمر،	books/al-khisal/11/43/1.json	tahdhib-al-ahkam
8	عبد الله بن محمد بن عبد الوهاب	عبد الله بن محمد بن عبد الوهاب، قال	books/al-tawhid/2/10/8.json	al-tawhid
8	خاله محمد بن الحسين بن ابي الخطاب	خَالِهِ مُحَمَّدِ بْنِ الْحُسَيْنِ بْنِ أَبِي الْخَطَّابِ	books/kamil-al-ziyarat/2/105/1.json	kamil-al-ziyarat
8	علي بن الحسين بن موسي بن بابويه	حَدَّثَنِي عَلِيُّ بْنُ الْحُسَيْنِ بْنِ مُوسَى بْنِ بَابَوَيْهِ	books/kamil-al-ziyarat/2/106/1.json	kamil-al-ziyarat
8	حكيم بن داود	حَدَّثَنِي حَكِيمُ بْنُ دَاوُدَ	books/kamil-al-ziyarat/2/32/8.json	kamil-al-ziyarat
8	جعفر بن محمد بن مالك	جَعْفَرِ بْنِ مُحَمَّدِ بْنِ مَالِكٍ	books/kamil-al-ziyarat/2/52/3.json	kitab-al-ghayba-tusi
8	عبيد الله بن نهيك	عُبَيْدِ اللَّهِ بْنِ نَهِيكٍ	books/kamil-al-ziyarat/2/69/2.json	kamil-al-ziyarat
8	سلامه بن محمد	أخبرنا سلامة بن محمد قال	books/kitab-al-ghayba-numani/2/10/6.json	kitab-al-ghayba-numani
8	ابو سليمان احمد بن هوذه	أخبرنا أبو سليمان أحمد بن هوذة قال	books/kitab-al-ghayba-numani/2/13/27.json	kitab-al-ghayba-numani
8	سال عبد الله بن سنان ابا عبد الله	سَأَلَ عَبْدُ اَللَّهِ بْنُ سِنَانٍ أَبَا عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ :	books/man-la-yahduruhu-al-faqih/3/3/25/24.json	man-la-yahduruhu-al-faqih
8	ساله ابو بصير	سَأَلَهُ أَبُو بَصِيرٍ :	books/man-la-yahduruhu-al-faqih/3/2/11/82.json	man-la-yahduruhu-al-faqih
8	سال الحلبي ابا عبد الله	سَأَلَ اَلْحَلَبِيُّ أَبَا عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ :	books/man-la-yahduruhu-al-faqih/3/2/36/115.json	man-la-yahduruhu-al-faqih
8	سال ابو بصير ابا عبد الله	سَأَلَ أَبُو بَصِيرٍ أَبَا عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ :	books/man-la-yahduruhu-al-faqih/3/2/36/52.json	man-la-yahduruhu-al-faqih
8	قد روي	قَدْ رُوِيَ	books/man-la-yahduruhu-al-faqih/2/2/29/2.json	man-la-yahduruhu-al-faqih
8	ابن يزيد	ابن يزيد،	books/mujam-al-ahadith-al-mutabara/4/2/5.json	mujam-al-ahadith-al-mutabara
8	ابراهيم ابنا نصير	إبراهيم ابنا نصير،	books/mujam-al-ahadith-al-mutabara/3/115/6.json	mujam-al-ahadith-al-mutabara
8	فاما ما رواه - الحسين بن سعيد	فَأَمَّا مَا رَوَاهُ - اَلْحُسَيْنُ بْنُ سَعِيدٍ	books/tahdhib-al-ahkam/4/54/10.json	tahdhib-al-ahkam
7	ابي جعفر محمد بن علي بن الحسين	أَبِي جَعْفَرٍ مُحَمَّدِ بْنِ عَلِيِّ بْنِ الْحُسَيْنِ عَلَيْهِمُ السَّلَامُ	books/al-amali-mufid/8/4/1.json	kitab-al-ghayba-tusi
7	قال اخبرني ابو القاسم جعفر بن محمد	قَالَ أَخْبَرَنِي أَبُو الْقَاسِمِ جَعْفَرُ بْنُ مُحَمَّدٍ رَحِمَهُ اللَّهُ	books/al-amali-mufid/41/5/1.json	tahdhib-al-ahkam
7	ابي عبد الله الصادق جعفر بن محمد	أَبِي عَبْدِ اللَّهِ الصَّادِقِ جَعْفَرِ بْنِ مُحَمَّدٍ عَلَيْهِمَا السَّلَامُ	books/al-amali-mufid/41/5/1.json	al-amali-saduq
7	الشيخ الفقيه ابو جعفر محمد بن علي بن الحسين بن موسي بن بابويه القمي	الشيخ الفقيه أبو جعفر محمد بن علي بن الحسين بن موسى بن بابويه القمي (رحمه الله)، قال	books/al-amali-saduq/10/1.json	al-amali-saduq
7	علي بن احمد بن موسي الدقاق	علي بن أحمد بن موسى الدقاق، قال	books/al-amali-saduq/11/12.json	al-amali-saduq
7	الحسن بن محمد بن سعيد الهاشمي	الحسن بن محمد بن سعيد الهاشمي، قال	books/al-amali-saduq/3/6.json	al-amali-saduq
7	جعفر بن علي بن الحسن الكوفي	جعفر بن علي بن الحسن الكوفي (رضي الله عنه)، قال	books/al-amali-saduq/84/10.json	al-khisal
